Box,Cantilever,Sphere radius (um)
1,1C,15.69
1,2C,12.54
1,3C,15.07
1,4C,15.78
1,5C,14.14
1,6C,14.33
1,7C,15.03
1,8C,10.71
1,9C,14.96
1,10C,14.38
2,1C,13.71
2,2C,14.32
2,3C,19.60
2,4C,13.00
2,5C,16.46
2,6C,#DIV/0!					
2,7C,#DIV/0!					
2,8C,7.64
2,9C,10.85
2,10C,10.94			
3,1C,14.22
3,2C,15.11
3,3C,15.30
3,4C,15.14
3,5C,15.28
3,6C,15.49
3,7C,15.63
3,8C,15.49
3,9C,#DIV/0!					
3,10C,#DIV/0!					
3,11C,					
3,12C,					
3,13C,7.06				
3,14C,7.25				
3,15C,8.60				
3,16C,					
4,1C,12.39
4,2C,15.83
4,3C,18.00
4,4C,7.35				
4,5C,14.68
4,6C,					
4,7C,						
4,8C,						
